Scenario,Day,Day Name,Period,Time,Activity,Employees
1,1,Mon,45,11:00,Activity 1,2
1,1,Mon,45,11:00,Activity 2,2
1,1,Mon,46,11:15,Activity 1,4
1,1,Mon,47,11:30,Activity 1,4
1,1,Mon,48,11:45,Activity 1,2
1,1,Mon,48,11:45,Activity 2,1
1,1,Mon,49,12:00,Activity 1,1
1,1,Mon,49,12:00,Activity 2,2
1,1,Mon,50,12:15,Activity 1,2
1,1,Mon,50,12:15,Activity 2,1
1,1,Mon,51,12:30,Activity 1,3
1,1,Mon,56,13:45,Activity 1,2
1,1,Mon,57,14:00,Activity 1,2
1,1,Mon,58,14:15,Activity 1,2
1,1,Mon,59,14:30,Activity 1,2
1,1,Mon,60,14:45,Activity 1,2
1,1,Mon,61,15:00,Activity 1,2
1,1,Mon,62,15:15,Activity 1,1
1,1,Mon,62,15:15,Activity 2,1
1,1,Mon,63,15:30,Activity 1,1
1,1,Mon,63,15:30,Activity 2,1
1,1,Mon,64,15:45,Activity 2,2
1,1,Mon,65,16:00,Activity 2,2
1,1,Mon,66,16:15,Activity 1,1
1,1,Mon,66,16:15,Activity 2,1
1,1,Mon,67,16:30,Activity 1,1
1,1,Mon,67,16:30,Activity 2,1
1,1,Mon,68,16:45,Activity 2,2
1,1,Mon,69,17:00,Activity 2,2
1,1,Mon,70,17:15,Activity 1,2
1,1,Mon,71,17:30,Activity 1,2
1,1,Mon,72,17:45,Activity 1,1
1,1,Mon,72,17:45,Activity 2,1
1,1,Mon,73,18:00,Activity 1,2
1,1,Mon,74,18:15,Activity 2,2
1,1,Mon,75,18:30,Activity 1,1
1,1,Mon,75,18:30,Activity 2,1
1,1,Mon,76,18:45,Activity 1,2
1,1,Mon,77,19:00,Activity 2,2
1,1,Mon,78,19:15,Activity 1,2
1,1,Mon,79,19:30,Activity 1,2
1,2,Tue,1,00:00,Activity 2,1
1,2,Tue,2,00:15,Activity 2,1
1,2,Tue,3,00:30,Activity 1,1
1,2,Tue,4,00:45,Activity 1,1
1,2,Tue,4,00:45,Activity 2,3
1,2,Tue,5,01:00,Activity 2,4
1,2,Tue,6,01:15,Activity 2,4
1,2,Tue,7,01:30,Activity 1,2
1,2,Tue,7,01:30,Activity 2,2
1,2,Tue,8,01:45,Activity 1,4
1,2,Tue,8,01:45,Activity 2,3
1,2,Tue,9,02:00,Activity 1,5
1,2,Tue,9,02:00,Activity 2,2
1,2,Tue,10,02:15,Activity 1,6
1,2,Tue,10,02:15,Activity 2,1
1,2,Tue,11,02:30,Activity 1,6
1,2,Tue,11,02:30,Activity 2,1
1,2,Tue,12,02:45,Activity 1,5
1,2,Tue,12,02:45,Activity 2,2
1,2,Tue,13,03:00,Activity 1,4
1,2,Tue,13,03:00,Activity 2,3
1,2,Tue,14,03:15,Activity 1,4
1,2,Tue,14,03:15,Activity 2,3
1,2,Tue,15,03:30,Activity 1,3
1,2,Tue,15,03:30,Activity 2,4
1,2,Tue,16,03:45,Activity 1,1
1,2,Tue,16,03:45,Activity 2,6
1,2,Tue,17,04:00,Activity 1,3
1,2,Tue,17,04:00,Activity 2,4
1,2,Tue,18,04:15,Activity 1,4
1,2,Tue,18,04:15,Activity 2,3
1,2,Tue,19,04:30,Activity 1,6
1,2,Tue,19,04:30,Activity 2,1
1,2,Tue,20,04:45,Activity 1,5
1,2,Tue,20,04:45,Activity 2,4
1,2,Tue,21,05:00,Activity 1,6
1,2,Tue,21,05:00,Activity 2,3
1,2,Tue,22,05:15,Activity 1,8
1,2,Tue,22,05:15,Activity 2,1
1,2,Tue,23,05:30,Activity 1,8
1,2,Tue,23,05:30,Activity 2,1
1,2,Tue,24,05:45,Activity 1,10
1,2,Tue,24,05:45,Activity 2,1
1,2,Tue,25,06:00,Activity 1,3
1,2,Tue,25,06:00,Activity 2,8
1,2,Tue,26,06:15,Activity 1,9
1,2,Tue,26,06:15,Activity 2,2
1,2,Tue,27,06:30,Activity 1,6
1,2,Tue,27,06:30,Activity 2,5
1,2,Tue,28,06:45,Activity 1,4
1,2,Tue,28,06:45,Activity 2,7
1,2,Tue,29,07:00,Activity 1,9
1,2,Tue,29,07:00,Activity 2,2
1,2,Tue,30,07:15,Activity 1,7
1,2,Tue,30,07:15,Activity 2,4
1,2,Tue,31,07:30,Activity 1,2
1,2,Tue,31,07:30,Activity 2,9
1,2,Tue,32,07:45,Activity 1,7
1,2,Tue,32,07:45,Activity 2,2
1,2,Tue,33,08:00,Activity 1,2
1,2,Tue,33,08:00,Activity 2,7
1,2,Tue,34,08:15,Activity 1,5
1,2,Tue,34,08:15,Activity 2,4
1,2,Tue,35,08:30,Activity 1,7
1,2,Tue,35,08:30,Activity 2,2
1,2,Tue,36,08:45,Activity 1,3
1,2,Tue,36,08:45,Activity 2,3
1,2,Tue,37,09:00,Activity 1,4
1,2,Tue,37,09:00,Activity 2,2
1,2,Tue,38,09:15,Activity 1,3
1,2,Tue,38,09:15,Activity 2,3
1,2,Tue,39,09:30,Activity 1,5
1,2,Tue,39,09:30,Activity 2,1
1,2,Tue,40,09:45,Activity 1,7
1,2,Tue,40,09:45,Activity 2,2
1,2,Tue,41,10:00,Activity 1,7
1,2,Tue,41,10:00,Activity 2,2
1,2,Tue,42,10:15,Activity 1,7
1,2,Tue,42,10:15,Activity 2,2
1,2,Tue,43,10:30,Activity 1,6
1,2,Tue,43,10:30,Activity 2,3
1,2,Tue,44,10:45,Activity 1,4
1,2,Tue,44,10:45,Activity 2,5
1,2,Tue,45,11:00,Activity 1,3
1,2,Tue,45,11:00,Activity 2,6
1,2,Tue,46,11:15,Activity 1,5
1,2,Tue,46,11:15,Activity 2,4
1,2,Tue,47,11:30,Activity 1,7
1,2,Tue,47,11:30,Activity 2,2
1,2,Tue,48,11:45,Activity 1,7
1,2,Tue,48,11:45,Activity 2,2
1,2,Tue,49,12:00,Activity 1,4
1,2,Tue,49,12:00,Activity 2,5
1,2,Tue,50,12:15,Activity 1,5
1,2,Tue,50,12:15,Activity 2,4
1,2,Tue,51,12:30,Activity 1,5
1,2,Tue,51,12:30,Activity 2,4
1,2,Tue,52,12:45,Activity 1,1
1,2,Tue,52,12:45,Activity 2,6
1,2,Tue,53,13:00,Activity 1,3
1,2,Tue,53,13:00,Activity 2,4
1,2,Tue,54,13:15,Activity 1,5
1,2,Tue,54,13:15,Activity 2,2
1,2,Tue,55,13:30,Activity 1,4
1,2,Tue,55,13:30,Activity 2,3
1,2,Tue,56,13:45,Activity 1,5
1,2,Tue,56,13:45,Activity 2,2
1,2,Tue,57,14:00,Activity 1,6
1,2,Tue,57,14:00,Activity 2,1
1,2,Tue,58,14:15,Activity 1,3
1,2,Tue,58,14:15,Activity 2,4
1,2,Tue,59,14:30,Activity 1,3
1,2,Tue,59,14:30,Activity 2,4
1,2,Tue,60,14:45,Activity 1,3
1,2,Tue,60,14:45,Activity 2,4
1,2,Tue,61,15:00,Activity 1,6
1,2,Tue,61,15:00,Activity 2,1
1,2,Tue,62,15:15,Activity 1,4
1,2,Tue,62,15:15,Activity 2,3
1,2,Tue,63,15:30,Activity 1,5
1,2,Tue,63,15:30,Activity 2,2
1,2,Tue,64,15:45,Activity 1,6
1,2,Tue,64,15:45,Activity 2,1
1,2,Tue,65,16:00,Activity 1,3
1,2,Tue,65,16:00,Activity 2,4
1,2,Tue,66,16:15,Activity 1,2
1,2,Tue,66,16:15,Activity 2,5
1,2,Tue,67,16:30,Activity 1,6
1,2,Tue,67,16:30,Activity 2,1
1,2,Tue,68,16:45,Activity 1,5
1,2,Tue,68,16:45,Activity 2,2
1,2,Tue,69,17:00,Activity 1,3
1,2,Tue,69,17:00,Activity 2,4
1,2,Tue,70,17:15,Activity 1,5
1,2,Tue,70,17:15,Activity 2,2
1,2,Tue,71,17:30,Activity 1,2
1,2,Tue,71,17:30,Activity 2,5
1,2,Tue,72,17:45,Activity 1,1
1,2,Tue,72,17:45,Activity 2,3
1,2,Tue,73,18:00,Activity 1,3
1,2,Tue,73,18:00,Activity 2,1
1,2,Tue,74,18:15,Activity 1,3
1,2,Tue,74,18:15,Activity 2,1
1,2,Tue,75,18:30,Activity 1,3
1,2,Tue,75,18:30,Activity 2,1
1,2,Tue,76,18:45,Activity 1,2
1,2,Tue,76,18:45,Activity 2,2
1,2,Tue,77,19:00,Activity 1,1
1,2,Tue,77,19:00,Activity 2,3
1,2,Tue,78,19:15,Activity 1,2
1,2,Tue,78,19:15,Activity 2,2
1,2,Tue,79,19:30,Activity 1,2
1,2,Tue,79,19:30,Activity 2,2
1,3,Wed,28,06:45,Activity 2,3
1,3,Wed,29,07:00,Activity 2,3
1,3,Wed,30,07:15,Activity 1,2
1,3,Wed,30,07:15,Activity 2,1
1,3,Wed,31,07:30,Activity 1,3
1,3,Wed,32,07:45,Activity 1,1
1,3,Wed,32,07:45,Activity 2,4
1,3,Wed,33,08:00,Activity 1,4
1,3,Wed,33,08:00,Activity 2,1
1,3,Wed,34,08:15,Activity 1,3
1,3,Wed,34,08:15,Activity 2,2
1,3,Wed,35,08:30,Activity 1,1
1,3,Wed,35,08:30,Activity 2,4
1,3,Wed,36,08:45,Activity 1,9
1,3,Wed,36,08:45,Activity 2,1
1,3,Wed,37,09:00,Activity 1,7
1,3,Wed,37,09:00,Activity 2,3
1,3,Wed,38,09:15,Activity 1,2
1,3,Wed,38,09:15,Activity 2,8
1,3,Wed,39,09:30,Activity 1,8
1,3,Wed,39,09:30,Activity 2,2
1,3,Wed,40,09:45,Activity 1,4
1,3,Wed,40,09:45,Activity 2,6
1,3,Wed,41,10:00,Activity 1,7
1,3,Wed,41,10:00,Activity 2,3
1,3,Wed,42,10:15,Activity 1,3
1,3,Wed,42,10:15,Activity 2,7
1,3,Wed,43,10:30,Activity 1,9
1,3,Wed,43,10:30,Activity 2,1
1,3,Wed,44,10:45,Activity 1,6
1,3,Wed,44,10:45,Activity 2,5
1,3,Wed,45,11:00,Activity 1,6
1,3,Wed,45,11:00,Activity 2,5
1,3,Wed,46,11:15,Activity 1,3
1,3,Wed,46,11:15,Activity 2,8
1,3,Wed,47,11:30,Activity 1,6
1,3,Wed,47,11:30,Activity 2,5
1,3,Wed,48,11:45,Activity 1,9
1,3,Wed,48,11:45,Activity 2,2
1,3,Wed,49,12:00,Activity 1,2
1,3,Wed,49,12:00,Activity 2,9
1,3,Wed,50,12:15,Activity 1,8
1,3,Wed,50,12:15,Activity 2,3
1,3,Wed,51,12:30,Activity 1,1
1,3,Wed,51,12:30,Activity 2,10
1,3,Wed,52,12:45,Activity 1,5
1,3,Wed,52,12:45,Activity 2,3
1,3,Wed,53,13:00,Activity 1,6
1,3,Wed,53,13:00,Activity 2,2
1,3,Wed,54,13:15,Activity 1,5
1,3,Wed,54,13:15,Activity 2,3
1,3,Wed,55,13:30,Activity 1,7
1,3,Wed,55,13:30,Activity 2,1
1,3,Wed,56,13:45,Activity 1,3
1,3,Wed,56,13:45,Activity 2,5
1,3,Wed,57,14:00,Activity 1,6
1,3,Wed,57,14:00,Activity 2,2
1,3,Wed,58,14:15,Activity 1,6
1,3,Wed,58,14:15,Activity 2,2
1,3,Wed,59,14:30,Activity 1,5
1,3,Wed,59,14:30,Activity 2,3
1,3,Wed,60,14:45,Activity 1,4
1,3,Wed,60,14:45,Activity 2,7
1,3,Wed,61,15:00,Activity 1,1
1,3,Wed,61,15:00,Activity 2,10
1,3,Wed,62,15:15,Activity 1,3
1,3,Wed,62,15:15,Activity 2,8
1,3,Wed,63,15:30,Activity 1,8
1,3,Wed,63,15:30,Activity 2,3
1,3,Wed,64,15:45,Activity 1,7
1,3,Wed,64,15:45,Activity 2,2
1,3,Wed,65,16:00,Activity 1,8
1,3,Wed,65,16:00,Activity 2,1
1,3,Wed,66,16:15,Activity 1,6
1,3,Wed,66,16:15,Activity 2,3
1,3,Wed,67,16:30,Activity 1,8
1,3,Wed,67,16:30,Activity 2,1
1,3,Wed,68,16:45,Activity 1,2
1,3,Wed,68,16:45,Activity 2,3
1,3,Wed,69,17:00,Activity 1,2
1,3,Wed,69,17:00,Activity 2,3
1,3,Wed,70,17:15,Activity 1,2
1,3,Wed,70,17:15,Activity 2,3
1,3,Wed,71,17:30,Activity 1,3
1,3,Wed,71,17:30,Activity 2,2
1,3,Wed,72,17:45,Activity 1,2
1,3,Wed,72,17:45,Activity 2,3
1,3,Wed,73,18:00,Activity 1,2
1,3,Wed,73,18:00,Activity 2,3
1,3,Wed,74,18:15,Activity 1,1
1,3,Wed,74,18:15,Activity 2,4
1,3,Wed,75,18:30,Activity 1,2
1,3,Wed,75,18:30,Activity 2,3
1,3,Wed,76,18:45,Activity 1,5
1,3,Wed,77,19:00,Activity 1,5
1,3,Wed,78,19:15,Activity 1,2
1,3,Wed,78,19:15,Activity 2,3
1,3,Wed,79,19:30,Activity 1,1
1,3,Wed,79,19:30,Activity 2,4
1,3,Wed,80,19:45,Activity 1,1
1,3,Wed,80,19:45,Activity 2,4
1,3,Wed,81,20:00,Activity 1,3
1,3,Wed,81,20:00,Activity 2,2
1,3,Wed,82,20:15,Activity 1,5
1,3,Wed,83,20:30,Activity 1,5
1,3,Wed,84,20:45,Activity 1,5
1,3,Wed,85,21:00,Activity 1,3
1,3,Wed,85,21:00,Activity 2,2
1,3,Wed,86,21:15,Activity 1,4
1,3,Wed,86,21:15,Activity 2,1
1,3,Wed,87,21:30,Activity 1,1
1,3,Wed,87,21:30,Activity 2,4
1,3,Wed,88,21:45,Activity 1,1
1,3,Wed,88,21:45,Activity 2,4
1,3,Wed,89,22:00,Activity 1,4
1,3,Wed,89,22:00,Activity 2,1
1,3,Wed,90,22:15,Activity 1,5
1,3,Wed,91,22:30,Activity 1,2
1,3,Wed,91,22:30,Activity 2,3
1,4,Thu,4,00:45,Activity 1,2
1,4,Thu,5,01:00,Activity 1,1
1,4,Thu,5,01:00,Activity 2,1
1,4,Thu,6,01:15,Activity 1,2
1,4,Thu,7,01:30,Activity 1,2
1,4,Thu,8,01:45,Activity 1,2
1,4,Thu,9,02:00,Activity 1,2
1,4,Thu,10,02:15,Activity 1,2
1,4,Thu,11,02:30,Activity 1,2
1,4,Thu,12,02:45,Activity 2,2
1,4,Thu,13,03:00,Activity 1,2
1,4,Thu,14,03:15,Activity 1,2
1,4,Thu,15,03:30,Activity 1,1
1,4,Thu,15,03:30,Activity 2,1
1,4,Thu,16,03:45,Activity 1,4
1,4,Thu,17,04:00,Activity 1,3
1,4,Thu,17,04:00,Activity 2,1
1,4,Thu,18,04:15,Activity 1,4
1,4,Thu,19,04:30,Activity 1,2
1,4,Thu,19,04:30,Activity 2,2
1,4,Thu,20,04:45,Activity 1,4
1,4,Thu,20,04:45,Activity 2,3
1,4,Thu,21,05:00,Activity 1,6
1,4,Thu,21,05:00,Activity 2,1
1,4,Thu,22,05:15,Activity 1,6
1,4,Thu,22,05:15,Activity 2,1
1,4,Thu,23,05:30,Activity 1,5
1,4,Thu,23,05:30,Activity 2,2
1,4,Thu,24,05:45,Activity 1,2
1,4,Thu,24,05:45,Activity 2,5
1,4,Thu,25,06:00,Activity 1,2
1,4,Thu,25,06:00,Activity 2,5
1,4,Thu,26,06:15,Activity 1,5
1,4,Thu,26,06:15,Activity 2,2
1,4,Thu,27,06:30,Activity 1,3
1,4,Thu,27,06:30,Activity 2,4
1,4,Thu,28,06:45,Activity 1,4
1,4,Thu,28,06:45,Activity 2,1
1,4,Thu,29,07:00,Activity 1,4
1,4,Thu,29,07:00,Activity 2,1
1,4,Thu,30,07:15,Activity 1,5
1,4,Thu,31,07:30,Activity 1,3
1,4,Thu,31,07:30,Activity 2,2
1,4,Thu,32,07:45,Activity 1,5
1,4,Thu,32,07:45,Activity 2,1
1,4,Thu,33,08:00,Activity 1,4
1,4,Thu,33,08:00,Activity 2,2
1,4,Thu,34,08:15,Activity 1,3
1,4,Thu,34,08:15,Activity 2,3
1,4,Thu,35,08:30,Activity 1,5
1,4,Thu,35,08:30,Activity 2,1
1,4,Thu,36,08:45,Activity 1,7
1,4,Thu,36,08:45,Activity 2,1
1,4,Thu,37,09:00,Activity 1,7
1,4,Thu,37,09:00,Activity 2,1
1,4,Thu,38,09:15,Activity 1,8
1,4,Thu,39,09:30,Activity 1,5
1,4,Thu,39,09:30,Activity 2,3
1,4,Thu,40,09:45,Activity 1,5
1,4,Thu,40,09:45,Activity 2,5
1,4,Thu,41,10:00,Activity 1,7
1,4,Thu,41,10:00,Activity 2,3
1,4,Thu,42,10:15,Activity 1,5
1,4,Thu,42,10:15,Activity 2,5
1,4,Thu,43,10:30,Activity 1,7
1,4,Thu,43,10:30,Activity 2,3
1,4,Thu,44,10:45,Activity 1,6
1,4,Thu,44,10:45,Activity 2,4
1,4,Thu,45,11:00,Activity 1,8
1,4,Thu,45,11:00,Activity 2,2
1,4,Thu,46,11:15,Activity 1,3
1,4,Thu,46,11:15,Activity 2,7
1,4,Thu,47,11:30,Activity 1,3
1,4,Thu,47,11:30,Activity 2,7
1,4,Thu,48,11:45,Activity 1,7
1,4,Thu,48,11:45,Activity 2,1
1,4,Thu,49,12:00,Activity 1,5
1,4,Thu,49,12:00,Activity 2,3
1,4,Thu,50,12:15,Activity 1,5
1,4,Thu,50,12:15,Activity 2,3
1,4,Thu,51,12:30,Activity 1,5
1,4,Thu,51,12:30,Activity 2,3
1,4,Thu,52,12:45,Activity 1,4
1,4,Thu,52,12:45,Activity 2,7
1,4,Thu,53,13:00,Activity 1,10
1,4,Thu,53,13:00,Activity 2,1
1,4,Thu,54,13:15,Activity 1,7
1,4,Thu,54,13:15,Activity 2,4
1,4,Thu,55,13:30,Activity 1,9
1,4,Thu,55,13:30,Activity 2,2
1,4,Thu,56,13:45,Activity 1,1
1,4,Thu,56,13:45,Activity 2,9
1,4,Thu,57,14:00,Activity 1,8
1,4,Thu,57,14:00,Activity 2,2
1,4,Thu,58,14:15,Activity 1,9
1,4,Thu,58,14:15,Activity 2,1
1,4,Thu,59,14:30,Activity 1,7
1,4,Thu,59,14:30,Activity 2,3
1,4,Thu,60,14:45,Activity 1,5
1,4,Thu,60,14:45,Activity 2,2
1,4,Thu,61,15:00,Activity 1,3
1,4,Thu,61,15:00,Activity 2,4
1,4,Thu,62,15:15,Activity 1,5
1,4,Thu,62,15:15,Activity 2,2
1,4,Thu,63,15:30,Activity 1,5
1,4,Thu,63,15:30,Activity 2,2
1,4,Thu,64,15:45,Activity 1,2
1,4,Thu,64,15:45,Activity 2,3
1,4,Thu,65,16:00,Activity 1,4
1,4,Thu,65,16:00,Activity 2,1
1,4,Thu,66,16:15,Activity 1,2
1,4,Thu,66,16:15,Activity 2,3
1,4,Thu,67,16:30,Activity 1,2
1,4,Thu,67,16:30,Activity 2,3
1,4,Thu,68,16:45,Activity 1,2
1,4,Thu,68,16:45,Activity 2,1
1,4,Thu,69,17:00,Activity 1,3
1,4,Thu,70,17:15,Activity 1,2
1,4,Thu,70,17:15,Activity 2,1
1,4,Thu,71,17:30,Activity 1,2
1,4,Thu,71,17:30,Activity 2,1
1,4,Thu,72,17:45,Activity 1,2
1,4,Thu,72,17:45,Activity 2,1
1,4,Thu,73,18:00,Activity 1,2
1,4,Thu,73,18:00,Activity 2,1
1,4,Thu,74,18:15,Activity 1,3
1,4,Thu,75,18:30,Activity 1,3
1,4,Thu,76,18:45,Activity 1,2
1,4,Thu,76,18:45,Activity 2,1
1,4,Thu,77,19:00,Activity 1,3
1,4,Thu,78,19:15,Activity 1,1
1,4,Thu,78,19:15,Activity 2,2
1,4,Thu,79,19:30,Activity 1,1
1,4,Thu,79,19:30,Activity 2,2
1,4,Thu,80,19:45,Activity 1,3
1,4,Thu,81,20:00,Activity 1,2
1,4,Thu,81,20:00,Activity 2,1
1,4,Thu,82,20:15,Activity 1,3
1,4,Thu,83,20:30,Activity 1,3
1,5,Fri,1,00:00,Activity 1,2
1,5,Fri,1,00:00,Activity 2,3
1,5,Fri,2,00:15,Activity 1,4
1,5,Fri,2,00:15,Activity 2,1
1,5,Fri,3,00:30,Activity 1,4
1,5,Fri,3,00:30,Activity 2,1
1,5,Fri,4,00:45,Activity 1,3
1,5,Fri,4,00:45,Activity 2,2
1,5,Fri,5,01:00,Activity 1,4
1,5,Fri,5,01:00,Activity 2,1
1,5,Fri,6,01:15,Activity 1,5
1,5,Fri,7,01:30,Activity 1,4
1,5,Fri,7,01:30,Activity 2,1
1,5,Fri,8,01:45,Activity 1,5
1,5,Fri,9,02:00,Activity 1,4
1,5,Fri,9,02:00,Activity 2,1
1,5,Fri,10,02:15,Activity 1,3
1,5,Fri,10,02:15,Activity 2,2
1,5,Fri,11,02:30,Activity 1,1
1,5,Fri,11,02:30,Activity 2,4
1,5,Fri,12,02:45,Activity 1,1
1,5,Fri,12,02:45,Activity 2,4
1,5,Fri,13,03:00,Activity 1,3
1,5,Fri,13,03:00,Activity 2,2
1,5,Fri,14,03:15,Activity 1,4
1,5,Fri,14,03:15,Activity 2,1
1,5,Fri,15,03:30,Activity 1,3
1,5,Fri,15,03:30,Activity 2,2
1,5,Fri,16,03:45,Activity 1,3
1,5,Fri,16,03:45,Activity 2,2
1,5,Fri,17,04:00,Activity 1,4
1,5,Fri,17,04:00,Activity 2,1
1,5,Fri,18,04:15,Activity 1,4
1,5,Fri,18,04:15,Activity 2,1
1,5,Fri,19,04:30,Activity 1,5
1,5,Fri,20,04:45,Activity 1,5
1,5,Fri,21,05:00,Activity 1,3
1,5,Fri,21,05:00,Activity 2,2
1,5,Fri,22,05:15,Activity 1,4
1,5,Fri,22,05:15,Activity 2,1
1,5,Fri,23,05:30,Activity 1,5
1,5,Fri,24,05:45,Activity 1,6
1,5,Fri,24,05:45,Activity 2,1
1,5,Fri,25,06:00,Activity 1,6
1,5,Fri,25,06:00,Activity 2,1
1,5,Fri,26,06:15,Activity 1,7
1,5,Fri,27,06:30,Activity 1,1
1,5,Fri,27,06:30,Activity 2,6
1,5,Fri,28,06:45,Activity 1,3
1,5,Fri,28,06:45,Activity 2,4
1,5,Fri,29,07:00,Activity 1,3
1,5,Fri,29,07:00,Activity 2,4
1,5,Fri,30,07:15,Activity 1,6
1,5,Fri,30,07:15,Activity 2,1
1,5,Fri,31,07:30,Activity 1,2
1,5,Fri,31,07:30,Activity 2,5
1,5,Fri,32,07:45,Activity 1,1
1,5,Fri,32,07:45,Activity 2,3
1,5,Fri,33,08:00,Activity 1,4
1,5,Fri,34,08:15,Activity 1,2
1,5,Fri,34,08:15,Activity 2,2
1,5,Fri,35,08:30,Activity 1,1
1,5,Fri,35,08:30,Activity 2,3
1,5,Fri,36,08:45,Activity 1,4
1,5,Fri,36,08:45,Activity 2,3
1,5,Fri,37,09:00,Activity 1,5
1,5,Fri,37,09:00,Activity 2,2
1,5,Fri,38,09:15,Activity 1,4
1,5,Fri,38,09:15,Activity 2,3
1,5,Fri,39,09:30,Activity 1,6
1,5,Fri,39,09:30,Activity 2,1
1,5,Fri,40,09:45,Activity 1,1
1,5,Fri,40,09:45,Activity 2,6
1,5,Fri,41,10:00,Activity 1,3
1,5,Fri,41,10:00,Activity 2,4
1,5,Fri,42,10:15,Activity 1,2
1,5,Fri,42,10:15,Activity 2,5
1,5,Fri,43,10:30,Activity 1,6
1,5,Fri,43,10:30,Activity 2,1
1,5,Fri,44,10:45,Activity 1,7
1,5,Fri,45,11:00,Activity 1,7
1,5,Fri,46,11:15,Activity 1,4
1,5,Fri,46,11:15,Activity 2,3
1,5,Fri,47,11:30,Activity 1,5
1,5,Fri,47,11:30,Activity 2,2
1,5,Fri,48,11:45,Activity 1,4
1,5,Fri,48,11:45,Activity 2,3
1,5,Fri,49,12:00,Activity 1,4
1,5,Fri,49,12:00,Activity 2,3
1,5,Fri,50,12:15,Activity 1,3
1,5,Fri,50,12:15,Activity 2,4
1,5,Fri,51,12:30,Activity 1,2
1,5,Fri,51,12:30,Activity 2,5
1,5,Fri,52,12:45,Activity 1,6
1,5,Fri,52,12:45,Activity 2,2
1,5,Fri,53,13:00,Activity 1,7
1,5,Fri,53,13:00,Activity 2,1
1,5,Fri,54,13:15,Activity 1,8
1,5,Fri,55,13:30,Activity 1,7
